Name,City,District,Address,Latitude,Longitude,Type,Languages,AgeRange,Rating,Students,Fees,Curriculum,Website,Phone,Specialties
Liget Óvoda,Budapest,IV,"Budapest, Rózsaliget köz 1, 1041",47.56263,19.0976971,Kindergarten,Hungarian,3-6,4.8,,Public (Free),Hungarian National Curriculum (NAT),http://ligetovoda.hu/,(06 1) 369 7006,
Óvodák,Budapest,I,"Budapest, Iskola u. 44, 1011",47.50648409999999,19.0366654,School,Hungarian,6-18,5,,Unknown (Needs verification),Hungarian National Curriculum (NAT),,(06 1) 225 0409,
Kerekerdő Óvoda,Budapest,IX,"Budapest, Vágóhíd u. 37, 1097",47.476388,19.089165,Kindergarten,Hungarian,3-6,4.6,,Public (Free),Hungarian National Curriculum (NAT),https://www.kerekerdoovoda9.hu/,(06 1) 215 4791,
Angyalkert Tagóvoda,Budapest,XIII,"Budapest, Angyalföldi út 1-3, 1134",47.5216375,19.0636644,Kindergarten,Hungarian,3-6,4.7,,Public (Free),IB (International Baccalaureate),http://ovoda.bp13.hu/angyalkert-tagovoda/,(06 1) 320 8069,
Ágoston Művészeti Óvoda,Budapest,III,"Budapest, Ágoston u. 2/a, 1032",47.54505280000001,19.03218,Kindergarten,Hungarian,3-6,4.6,,Public (Free),IB (International Baccalaureate),https://agoston.obudaiovodak.hu/,(06 1) 388 7776,Arts programs
Budapesti Akadémiai Óvoda és Bölcsőde,Budapest,II,"Budapest, Barsi u. 3, 1022",47.5149349,19.0246024,Nursery,Hungarian,3-6,5,,Public (Free),IB (International Baccalaureate),http://aob.hu/,(06 1) 326 7780,
Budapesti Tengerszem Óvoda,Budapest,XIV,"Budapest, Lőcsei út 95, 1147",47.5249019,19.1023545,Kindergarten,Hungarian,3-6,4.8,,Public (Free),IB (International Baccalaureate),http://tengerszemovi.hu/,06 30 318 2697,
Mother Goose Óvoda/ Kindergarten,Budapest,XII,"Budapest, Melinda út 19., Széchenyi emlékút 22., 1121",47.4921965,18.9896477,Kindergarten,Hungarian,3-6,5,,Public (Free),IB (International Baccalaureate),http://www.mothergoose.hu/,(06 1) 391 7227,Arts programs
Szemlőhegy utcai óvoda,Budapest,II,"Budapest, Szemlőhegy u. 27/b, 1023",47.5211627,19.0304183,Kindergarten,Hungarian,3-6,5,,Public (Free),Hungarian National Curriculum,http://www.szemlohegyovoda.hu/,(06 1) 326 1887,
Sashegy Óvoda - Együtt a Szülőkkel a Családokét Alapítvány,Budapest,XI,"Budapest, Előpatak u. 5, 1118",47.47545,19.0183535,Kindergarten,Hungarian,3-6,5,,Public (Free),IB (International Baccalaureate),http://sashegyovoda.hu/,(06 1) 319 1149,
A-Z International Centre for Children: English Preschool and Kindergarden,Budapest,XII,"Budapest, Zsolna u. 2, 1125",47.5038063,19.0029878,International,"English, Hungarian",3-18,5,,"€5,000-€15,000/year (estimated)",IB (International Baccalaureate),http://atoz.hu/,(06 1) 212 0133,"English language program, International curriculum"
Pöttyös Tagóvoda,Budapest,XIII,"Budapest, Jász u. 145, 1131",47.5423931,19.0901279,Kindergarten,Hungarian,3-6,5,,Public (Free),Hungarian National Curriculum,http://ovoda.bp13.hu/index.php?lang=hun&page=cms&spage=struktura&id=1724&mikrohonlap_id=1723,(06 1) 349 6117,
Mészáros utcai Óvoda,Budapest,I,"Budapest, Mészáros u. 56b, 1016",47.491093,19.0311759,Kindergarten,Hungarian,3-6,5,,Public (Free),IB (International Baccalaureate),http://www.budavargmsz.hu/brunszvik-terez-budavari-ovodak,(06 1) 225 0762,
Óbudai Almáskert Óvoda Csicsergő Tagóvodája,Budapest,III,"Budapest, Szérűskert u. 41, 1033",47.5590351,19.043904,Kindergarten,Hungarian,3-6,5,,Public (Free),Hungarian National Curriculum (NAT),,(06 1) 367 1982,
Újbudai Karolina Óvoda,Budapest,XI,"Budapest, 72,, Karolina út 64, 1113",47.4742089,19.0340494,Kindergarten,Hungarian,3-6,5,,Public (Free),IB (International Baccalaureate),http://oktatas.ujbuda.hu/ovodak,(06 1) 466 7358,
Katica Óvoda,Budapest,III,"Budapest, Vasút sor 19, 1038",47.5912508,19.0486064,Kindergarten,Hungarian,3-6,5,,Public (Free),IB (International Baccalaureate),http://katicaovi.hu/,(06 1) 240 2203,
Óvodák Hétszínvirág Magánóvoda,Budapest,IV,"Budapest, Szigeti József u. 4, 1041",47.564366,19.1040635,Kindergarten,Hungarian,3-6,5,,Private (Fee-paying),IB (International Baccalaureate),https://hetszinvirag.hu/,(06 1) 611 6200,
Ákombákom Tagóvoda,Budapest,XIII,"Budapest, Visegrádi köz, 1133",47.5275354,19.0633508,Kindergarten,Hungarian,3-6,5,,Public (Free),IB (International Baccalaureate),http://ovoda.bp13.hu/akom-bakom-tagovoda/,(06 1) 239 1672,
Ambrus Óvoda,Budapest,IV,"Budapest, Ambrus Zoltán u. 2, 1047",47.57085989999999,19.0874611,Kindergarten,Hungarian,3-6,5,,Public (Free),Hungarian National Curriculum (NAT),http://www.ambrusovi.hu/,(06 1) 370 9034,
Naphegyi Óvoda,Budapest,I,"Budapest, Tigris u. 58, 1016",47.49066250000001,19.0352463,Kindergarten,Hungarian,3-6,,,Public (Free),Hungarian National Curriculum (NAT),,(06 1) 375 3763,
Nyárs Utcai Óvoda,Budapest,I,"Budapest, Nyárs u. 2, 1016",47.493225,19.0306149,Kindergarten,Hungarian,3-6,5,,Public (Free),Hungarian National Curriculum (NAT),,(06 1) 225 1444,
Terézvárosi Önkormányzat Szív Óvoda,Budapest,VI,"Budapest, Szív u. 6, 1063",47.5075393,19.0712337,Kindergarten,Hungarian,3-6,3.3,,Public (Free),IB (International Baccalaureate),http://www.szivovoda6.hu/,(06 1) 322 8628,
Óvodák,Budapest,XIII,"Budapest, Gyöngyösi stny. 5, 1138",47.5503295,19.0782,School,Hungarian,6-18,4.6,,Unknown (Needs verification),IB (International Baccalaureate),https://ovoda.bp13.hu/gyongyszem-tagovoda/,(06 1) 239 4509,
ELTE Gyakorló Óvoda,Budapest,XII,"Budapest, Kiss János altábornagy u. 29, 1126",47.4937353,19.0204968,Kindergarten,Hungarian,3-6,5,,Public (Free),Hungarian National Curriculum,http://elteovi.hu/,(06 1) 356 4046,
Liliom Óvoda,Budapest,IX,"Budapest, Liliom u. 15, 1094",47.4814902,19.0711169,Kindergarten,Hungarian,3-6,5,,Public (Free),Hungarian National Curriculum (NAT),http://liliomovoda.hu/?page_id=3321,(06 1) 215 0097,
Óvodák Százszorszép Óvoda,Budapest,II,"Budapest, Kitaibel Pál u. 10, 1022",47.51274859999999,19.0285961,Kindergarten,Hungarian,3-6,5,,Public (Free),IB (International Baccalaureate),https://kitaibelpalutcaiovoda3.webnode.hu/,(06 1) 212 5363,
Táltos Óvoda,Budapest,XII,"Budapest, Lejtő út 41, 1124",47.4857382,19.0104291,Kindergarten,Hungarian,3-6,5,,Public (Free),Hungarian National Curriculum (NAT),http://www.taltosovoda.eu//,(06 1) 319 3051,
Százszorszép Óvoda,Budapest,II,"Budapest, Fillér u. 29, 1024",47.5109393,19.0206554,Kindergarten,Hungarian,3-6,4.6,,Public (Free),IB (International Baccalaureate),http://szazszorszep2ovi.hu/,(06 1) 315 0669,
Orbánhegyi óvoda,Budapest,XII,"Budapest, Orbánhegyi út 3a, 1126",47.49646550000001,19.0173315,Kindergarten,Hungarian,3-6,4.3,,Public (Free),IB (International Baccalaureate),http://orbanhegyiovoda.hu/,(06 1) 214 8245,
Városmajori Óvodák,Budapest,XII,"Budapest, Városmajor u. 59/B, 1122",47.50718639999999,19.0143342,School,Hungarian,6-18,5,,Unknown (Needs verification),Hungarian National Curriculum (NAT),http://www.varosmajoriovodak.hu/,(06 1) 202 2566,
Kuckó Magánóvoda,Budapest,XIV,"Budapest, Kerékgyártó u. 91/B, 1147",47.5314059,19.1163346,Kindergarten,Hungarian,3-6,4.8,,Private (Fee-paying),IB (International Baccalaureate),http://kuckomaganovoda.hu/,(06 1) 223 2030,
Plum Pudding Óvoda,Budapest,II,"Budapest, Herman Ottó u 22, 1022",47.5160531,19.0072468,Kindergarten,Hungarian,3-6,5,,Public (Free),IB (International Baccalaureate),https://plumpudding.hu/,06 30 991 5481,
Ágoston Művészeti Óvoda Kastély Tagóvodája,Budapest,III,"Budapest, Bécsi út 236, 1037",47.5580012,19.024493,Kindergarten,Hungarian,3-6,3.4,,Public (Free),Hungarian National Curriculum (NAT),,(06 1) 388 7389,Arts programs
Bolyai Utcai Óvoda,Budapest,II,"Budapest, Bolyai u. 15, 1023",47.5183165,19.0282798,Kindergarten,Hungarian,3-6,4.4,,Public (Free),IB (International Baccalaureate),http://bolyaiovoda.hu/,(06 1) 326 2059,
"Brumi Óvoda, Magánóvoda",Budapest,XVI,"Budapest, Emma u. 18, 1165",47.5143844,19.1938823,Kindergarten,Hungarian,3-6,5,,Private (Fee-paying),IB (International Baccalaureate),http://www.brumiovoda.hu/,(06 1) 407 1367,
Herminka Óvoda,Budapest,XIV,"Budapest, Ida u. 6, 1143",47.512141,19.0959108,Kindergarten,Hungarian,3-6,5,,Public (Free),Hungarian National Curriculum (NAT),,(06 1) 383 0940,
Budapesti Napraforgó óvoda,Budapest,XI,"Budapest, Bikszádi u. 57, 1119",47.46152499999999,19.030237,Kindergarten,Hungarian,3-6,5,,Public (Free),Hungarian National Curriculum (NAT),https://eszakkelenfoldiovi.ujbuda.hu/ujbudai-napraforgo-ovoda-telephely,(06 1) 205 7443,
Budapesti Viola Óvoda,Budapest,IV,"Budapest, Viola u. 11-13, 1042",47.559797,19.1026481,Kindergarten,Hungarian,3-6,5,,Public (Free),Hungarian National Curriculum (NAT),http://violaovoda.hu/,(06 1) 369 9513,
Budapest Főváros XV. kerületi Önkormányzat Hétszínvirág Összevont Óvoda Mézes Tagóvodája,Budapest,XV,"Budapest, Mézeskalács tér 4, 1155",47.5431037,19.124971,Kindergarten,Hungarian,3-6,4.5,,Public (Free),Hungarian National Curriculum (NAT),http://www.hetszinviragovi.hu/,(06 1) 416 7272,
Bükköny Óvoda,Budapest,XI,"Budapest, Bükköny u. 9, 1116",47.4449195,19.0345705,Kindergarten,Hungarian,3-6,4.9,,Public (Free),Hungarian National Curriculum (NAT),https://albertfalvaiovi.ujbuda.hu/,(06 1) 208 1693,
Óvodák,Budapest,V,"Budapest, József Attila u. 18, 1051",47.4991188,19.0520723,School,Hungarian,6-18,4.8,,Unknown (Needs verification),IB (International Baccalaureate),http://tesz-veszovoda.hu/,(06 1) 318 1518,
Óvodák Terézvárosi Önkormányzat Óvodája,Budapest,VI,"Budapest, Városligeti fasor 28, 1068",47.5097515,19.0765941,School,Hungarian,6-18,4.6,,Public (Free),Hungarian National Curriculum (NAT),https://www.fasorikicsinyekovoda.hu/,(06 1) 342 6089,
Pillangó Óvoda,Budapest,III,"Budapest, Emőd u. 12, 1031",47.576342,19.0508552,Kindergarten,Hungarian,3-6,4.5,,Public (Free),Hungarian National Curriculum (NAT),http://emodovi.hu/,(06 1) 240 1550,
Óbudai Gyermekvilág Óvoda,Budapest,III,"Budapest, Arató Emil tér 2, 1031",47.569986,19.0546621,Kindergarten,Hungarian,3-6,5,,Public (Free),Hungarian National Curriculum (NAT),,(06 1) 439 0206,
Törpegomba Óvoda,Budapest,XI,"Budapest, Badacsonyi u. 24, 1113",47.4776574,19.0344075,Kindergarten,Hungarian,3-6,4.7,,Public (Free),Hungarian National Curriculum,http://www.torpegomba.hu/,(06 1) 950 9981,
Süni Óvoda,Budapest,XII,"Budapest, Németvölgyi út 29, 1126",47.4956037,19.0160084,Kindergarten,Hungarian,3-6,5,,Public (Free),Hungarian National Curriculum (NAT),http://www.suniovodak.hu/,(06 1) 355 4994,
Napraforgó Egyesített Óvoda,Budapest,VIII,"Budapest, Tolnai Lajos u. 7-9, 1084",47.4949161,19.073953,Kindergarten,Hungarian,3-6,4.4,,Public (Free),IB (International Baccalaureate),http://www.08egyesitettovoda.hu/,(06 1) 210 0806,
Kerekerdő Óvoda,Budapest,II,"Budapest, Máriaremetei út 153, 1029",47.5562082,18.9485327,Kindergarten,Hungarian,3-6,5,,Public (Free),Hungarian National Curriculum (NAT),,(06 1) 397 0038,
Napsugár Tagóvoda,Budapest,XIII,"Budapest, Thurzó u. 6, 1133",47.5195193,19.0546165,Kindergarten,Hungarian,3-6,5,,Public (Free),Hungarian National Curriculum,http://ovoda.bp13.hu/index.php?lang=hun&page=cms&spage=struktura&id=1618,(06 1) 349 9195,
Hűvösvölgyi Gesztenyéskert Óvoda,Budapest,II,"Budapest, Völgy u. 3, 1021",47.5323508,18.9806346,Kindergarten,Hungarian,3-6,4.6,,Public (Free),Hungarian National Curriculum,https://gesztenyeskertovi.hu/,(06 1) 394 2979,
Bölcsődék,Budapest,II,"Budapest, Pasaréti út 41, 1026",47.5157309,19.0051687,School,Hungarian,6-18,4.9,,Unknown (Needs verification),Hungarian National Curriculum (NAT),,(06 1) 355 7419,
Bölcsődék,Budapest,IX,"Budapest, Fehér Holló u. 2 4, 1097",47.4759989,19.084743,School,Hungarian,6-18,4.8,,Unknown (Needs verification),Hungarian National Curriculum (NAT),,(06 1) 215 5540,
Susie's Családi Magánbölcsőde,Budapest,II,"Budapest, Muhar u. 5, 1028",47.5597551,18.9640922,Nursery,Hungarian,6-18,5,,Private (Fee-paying),IB (International Baccalaureate),http://www.susies.hu/,06 20 927 0802,
Árpádföldi Borostyán Bölcsőde,Budapest,XVI,"Budapest, Monoki u. 67, 1162",47.5321146,19.2048709,Nursery,Hungarian,6-18,4,,Unknown (Needs verification),IB (International Baccalaureate),https://bp16kertvarosibolcsodek.hu/borostyan-bolcsode/,(06 1) 409 3516,
Bóbita Magánbölcsőde Magánóvoda,Budapest,IV,"Budapest, Óceánárok u. 31, 1048",47.5808603,19.1069129,Nursery,Hungarian,3-6,4.4,,Private (Fee-paying),Hungarian National Curriculum (NAT),http://bobitaovibolcsi.hu/,06 30 440 8857,
Budapesti Cseperedő Képességfejlesztő Játszóház és Családi Napközi,Budapest,XI,"Budapest, Bercsényi u. 10, 1111",47.4781686,19.0512734,School,Hungarian,6-18,5,,Unknown (Needs verification),Hungarian National Curriculum (NAT),http://www.cseperedojatszohaz.hu/,06 20 250 7308,
We Kids Családi Bölcsőde,Budapest,XIII,"Budapest, Radnóti Miklós u. 40, 1137",47.51630830000001,19.0489739,Nursery,Hungarian,6-18,4.4,,Unknown (Needs verification),Hungarian National Curriculum (NAT),https://wekids.hu/,06 30 456 9695,
Hancúrház Bölcsőde,Budapest,XIII,"Budapest, Jász u. 113-117, 1131",47.5387475,19.0880612,Nursery,Hungarian,6-18,5,,Unknown (Needs verification),Hungarian National Curriculum (NAT),,(06 1) 329 6405,
Angol Kert Nemzetközi Óvoda,Budapest,VIII,"Budapest, Villám u. 25, 1089",47.48072579999999,19.1009494,Kindergarten,Hungarian,3-6,4.8,,Public (Free),IB (International Baccalaureate),http://www.englishgarden.hu/,06 20 224 5070,
Deutscher Kindergarten Budapest,Budapest,XII,"Budapest, Beatrix u. 13, 1121",47.5129742,18.9821607,"Kindergarten, International","German, Hungarian",3-6,5,,"€5,000-€15,000/year (estimated)",IB (International Baccalaureate),https://deutscherkindergarten.hu/,(06 1) 200 6230,"German language program, Arts programs, International curriculum"
MINDENKID MILLENNIUM ANGOL-MAGYAR Óvoda,Budapest,IX,"Budapest, Lechner Ödön fasor 10, 1095",47.4714106,19.0718445,Kindergarten,Hungarian,3-6,4.7,,Public (Free),Hungarian National Curriculum (NAT),http://mindenkid.hu/,06 70 623 2336,
Apple Tree Kindergarten and Nursery,Budapest,II,"Budapest, Trombitás út 11, 1026",47.50991459999999,19.01615,Kindergarten,Hungarian,3-6,5,80,Unknown (Needs verification),IB (International Baccalaureate),http://www.appletree-kindergarten.hu/,06 30 708 2248,Arts programs
Kids' Kiosk,Budapest,II,"Budapest, Bimbó út 194, 1026",47.52457039999999,18.9986106,School,Hungarian,5-12,5,,Unknown (Needs verification),IB (International Baccalaureate),http://www.kidskiosk.eu/,06 30 563 5528,
Eszterlánc English–Hungarian Montessori Kindergarten,Budapest,XI,"Budapest, Menyecske u. 14, 1112",47.4614631,19.0178192,"Kindergarten, Alternative","English, Hungarian",3-6,4,,"€3,000-€6,000/year",Hungarian National Curriculum,http://www.lanclanc.hu/,06 30 543 3432,"English language program, Montessori method, Arts programs"
BILINGUAL - Színes Gyerekkert Óvoda,Budapest,III,"Budapest, Gelléri Andor Endre utca 6-8, 1032",47.53993209999999,19.0290964,Kindergarten,Hungarian,3-6,,1600,Unknown (Bilingual - verify),IB (International Baccalaureate),https://bilingual.hu/,06 70 511 0305,Bilingual education (Hungarian-English)
Under the Rainbow Pre-school and Kindergarten,Budapest,II,"Budapest, Levél u. 6, 1023",47.517379,19.0287172,Kindergarten,Hungarian,3-4,5,,Unknown (Needs verification),IB (International Baccalaureate),http://undertherainbow.hu/,06 30 231 8181,Arts programs
Under the Rainbow Pre-school and Kindergarten,Budapest,II,"Budapest, Feketerigó u. 20, 1029",47.54498,18.943749,Kindergarten,Hungarian,3-4,4.3,,Unknown (Needs verification),IB (International Baccalaureate),http://www.undertherainbow.hu/,(06 1) 274 7202,Arts programs
Katica-Kuckó Angol-Magyar Montessori Szemléletű Magánóvoda,Budapest,II,"Budapest, Budakeszi út 73/B, 1021",47.5233879,18.9632616,"Kindergarten, Alternative",Hungarian,3-6,5,,Private (Fee-paying),Hungarian National Curriculum,http://www.katica-kucko.hu/,06 30 760 2771,Montessori method
Lotti&Maxim Angol Nyelvi Montessori Óvoda,Budapest,V,"Budapest, Egyetem tér 5, 1053",47.491013,19.0589805,"Kindergarten, Alternative",Hungarian,3-6,4,,"€3,000-€6,000/year",IB (International Baccalaureate),http://www.montessorischool.hu/,06 20 259 5799,Montessori method
Eszterlánc Magyar–Angol Montessori Óvoda,Budapest,XI,"Budapest, Menyecske u. 14, 1112",47.4614631,19.0178192,"Kindergarten, Alternative",Hungarian,3-6,5,,"€3,000-€6,000/year",Montessori Method,http://lanclanc.hu/kapcsolat/,06 30 235 3441,Montessori method
Lotti&Maxim English Montessori Kindergarten and School,Budapest,II,"Budapest, Hárshegyi út 3A, 1021",47.5218304,18.9716023,"Kindergarten, Alternative","English, Hungarian",3-6,3.9,,"€3,000-€6,000/year",IB (International Baccalaureate),http://montessorischool.hu/,06 20 259 5799,"English language program, Montessori method, Arts programs"
"Gustave Eiffel Francia Óvoda, Általános Iskola és Gimnázium",Budapest,II,"Budapest, Máriaremetei út 193-199., 1029",47.5643921,18.9479346,Kindergarten,"French, Hungarian",3-18,3.9,700,"€6,000-€10,000/year","French National Curriculum, Baccalauréat",http://lfb.hu/en/,(06 1) 275 4296,"AEFE accredited, French language immersion, Multilingual education"
Budapest Panda Óvoda,Budapest,X,"Budapest, Somfa köz 17, 1107",47.4719596,19.118868,Kindergarten,Hungarian,3-6,5,,Public (Free),Hungarian National Curriculum,https://maganovoda10.hu/,06 30 889 8116,
Bambi Marina Magánóvoda és Bölcsőde,Budapest,XIII,"Budapest, Turóc u. 11, 1138",47.5471678,19.0689958,Nursery,Hungarian,3-6,4.6,,Private (Fee-paying),Hungarian National Curriculum (NAT),http://www.bambifamily.hu/,06 20 287 0151,
Corvin MindenKid Óvoda,Budapest,VIII,"Budapest, Bókay János u. 34-36, 1083",47.4858936,19.0798825,Kindergarten,Hungarian,3-6,4.6,,Public (Free),Hungarian National Curriculum (NAT),https://www.mindenkid.hu/,06 70 414 2723,
Happy Garden Daycare + Csodakert Óvoda,Budapest,XII,"Budapest, Irhás árok 65, 1121",47.4824209,18.9747805,Kindergarten,Hungarian,3-6,5,,Public (Free),Hungarian National Curriculum (NAT),http://www.happygarden.hu/,06 30 418 5102,
Under the Rainbow Kindergarten and Nursery,Budapest,II,"Budapest, Torockó u. 6/b, 1026",47.51292249999999,19.0067595,Kindergarten,Hungarian,3-4,,,Unknown (Needs verification),IB (International Baccalaureate),http://www.undertherainbow.hu/,06 30 231 8181,Arts programs
"Orchidea Magyar-Angol Két Tanítási Nyelvű Óvoda, Általános Iskola és Gimnázium",Budapest,XIII,"Budapest, Hajdú u. 18-24, 1139",47.53273799999999,19.0764581,Kindergarten,Hungarian,3-6,,,Public (Free),Hungarian National Curriculum (NAT),https://ohebs.hu/,06 70 323 2543,Bilingual education (Hungarian-English)
ELTE Tanító- és Óvóképző Kar,Budapest,XII,"Budapest, Tanító- és Óvóképző Kar, Kiss János altábornagy u. 40, 1126",47.4920588,19.0190874,School,Hungarian,6-18,4,,Public (Free),IB (International Baccalaureate),http://www.tok.elte.hu/,(06 1) 487 8100,
"Nikola Tesla Szerb Tanítási Nyelvű Óvoda, Általános Iskola",Budapest,VII,"Budapest, Rózsák tere 6-7, 1074",47.5013112,19.0768255,Kindergarten,Hungarian,3-6,4.5,,Public (Free),IB (International Baccalaureate),http://nikola-tesla.hu/,(06 1) 351 6550,
Angol Óvoda,Budapest,XIII,"Budapest, Gömb u., 1139",47.5305195,19.0752661,Kindergarten,Hungarian,3-6,,,Public (Free),IB (International Baccalaureate),http://angolovoda.com/en/,06 70 418 4519,
"Habakukk Alapítványi Óvoda, Magánóvoda, Bölcsőde és Játszóház",Budapest,II,"Budapest, Marczibányi tér 12, 1022",47.5131288,19.0237338,Nursery,Hungarian,3-6,5,,Private (Fee-paying),IB (International Baccalaureate),http://www.habakukk.hu/,(06 1) 212 5788,
Happy House Magánóvoda Budapest,Budapest,II,"Budapest, Gyergyó u. 6, 1026",47.5123426,19.0069822,Kindergarten,Hungarian,3-6,4.7,,Private (Fee-paying),Hungarian National Curriculum (NAT),https://maganovoda-bolcsode.hu/,06 30 848 5001,
Mesevilág Magánóvoda,Budapest,X,"Budapest, Váltó u. 40, 1106",47.5020226,19.1680795,Kindergarten,Hungarian,3-6,4.7,,Private (Fee-paying),IB (International Baccalaureate),http://mesevilagovi.hu/,06 30 410 4992,
Music House Óvoda,Budapest,III,"Budapest, Remetehegyi út 183, 1037",47.55397860000001,19.0154592,Kindergarten,Hungarian,3-6,5,,Public (Free),Hungarian National Curriculum,http://musichouse.hu/,06 30 135 1529,
Gyermeksziget Montessori Óvoda Mosolygó Tagóvodája,Budapest,III,"Budapest, Kelta u. 8, 1039",47.6002637,19.0642566,"Kindergarten, Alternative",Hungarian,3-6,4.8,,"€3,000-€6,000/year",Hungarian National Curriculum,https://godolloi-mosolygo-ovoda.webnode.hu/,(06 1) 454 7210,Montessori method
Csodasziget Fejlesztő Műhely,Budapest,VI,"Budapest, Andrássy út 98, 1069",47.51080470000001,19.0711229,School,Hungarian,6-18,5,,Unknown (Needs verification),Hungarian National Curriculum (NAT),,,
Színes Gyerekkert Óvoda,Budapest,III,"Budapest, Gelléri Andor Endre utca 6-8, 1032",47.5400332,19.029071,Kindergarten,Hungarian,3-6,4.4,,Public (Free),IB (International Baccalaureate),http://www.szazszorszepovi.hu/hu/szines-gyerekkert-ovoda,(06 1) 368 4042,
Zsebiovi,Budapest,II,"Budapest, Muraközi u. 13, 1025",47.5246194,19.0195415,School,Hungarian,6-18,4.5,,Unknown (Needs verification),IB (International Baccalaureate),http://www.zsebiovi.com/,06 30 609 6065,
"Tibor tagóvoda, gimnázium és közmunkási szakpékség",Budapest,VIII,"Budapest, Blaha Lujza tér 47, 1085",47.49616390000001,19.0703739,"Kindergarten, IB School",Hungarian,3-6,4.5,,Private (Fee-paying),Hungarian National Curriculum (NAT),,,
Majdnem diákszempont,Budapest,VI,"Budapest, Lovag u., 1066",47.5065846,19.0576702,School,Hungarian,6-18,5,,Unknown (Needs verification),Hungarian National Curriculum (NAT),,,
Cambridge Sports Kindergarten,Budapest,XVIII,"Budapest, Gyergyó u. 16, 1182",47.4236982,19.2216779,Kindergarten,Hungarian,3-6,3.1,,Private (Fee-paying),IB (International Baccalaureate),http://sportovi.hu/,06 30 455 1113,"Sports programs, Arts programs"
Egyfecskék Waldorf Óvoda,Budapest,XII,"Budapest, Kiss Áron u. 15, 1125",47.5130634,18.9904237,"Kindergarten, Alternative",Hungarian,3-6,4.2,,"€2,000-€4,000/year",Hungarian National Curriculum,http://www.egyfecskek.hu/,06 30 782 7771,Waldorf/Steiner pedagogy
Aranyló Napraforgó Óvoda és Bölcsőde,Budapest,XIV,"Budapest, Pósa Lajos u. 61, 1149",47.520272,19.1239111,Nursery,Hungarian,3-6,4.8,,Public (Free),IB (International Baccalaureate),http://www.aranylo-napraforgo.hu/,06 30 088 3584,
Bolgár Kétnyelvű Nemzetiségi Óvoda,Budapest,IX,"Budapest, Vágóhíd u. 35-37, 1097",47.476334,19.089006,Kindergarten,Hungarian,3-6,5,,Public (Free),Hungarian National Curriculum (NAT),http://www.bolgarok.hu/index.php?id=91,06 20 250 7339,
Erzsébetvárosi Bóbita Óvoda,Budapest,VII,"Budapest, Akácfa u. 32, 1072",47.49938299999999,19.0663135,Kindergarten,Hungarian,3-6,4.3,,Public (Free),Hungarian National Curriculum (NAT),https://www.bobitaovoda.hu/,(06 1) 321 3675,
Music House Nursery,Budapest,III,"Budapest, Viharhegyi út 19c, 1037",47.5535253,19.0158456,School,Hungarian,6-18,4.6,,Unknown (Needs verification),Hungarian National Curriculum,http://www.musichouse.hu/,06 30 135 1529,
